state_abbr,date,handle,revenue,hold,taxes,primary_key,state,population_total,population_under_18,earnings_median,population_over_18,online,in_person,Ways_to_bet,tax_status,year,month
AR,January 2023,32976264.0,2868244.0,0.087,439379.0,43,Arkansas,3025891,703793,33869,2322098,YES,YES,Online & In-Person,No,2023,1
AR,February 2023,29532263.0,1709714.0,0.0579999999999999,254925.0,44,Arkansas,3025891,703793,33869,2322098,YES,YES,Online & In-Person,No,2023,2
AR,March 2023,37474412.0,4264047.0,0.114,626042.0,45,Arkansas,3025891,703793,33869,2322098,YES,YES,Online & In-Person,No,2023,3
AR,April 2023,25452659.0,2336023.0,0.092,349633.0,46,Arkansas,3025891,703793,33869,2322098,YES,YES,Online & In-Person,No,2023,4
AR,May 2023,22777209.0,2293281.0,0.1009999999999999,458656.0,47,Arkansas,3025891,703793,33869,2322098,YES,YES,Online & In-Person,Yes,2023,5
AR,June 2023,22708945.0,1334973.0,0.059,266995.0,48,Arkansas,3025891,703793,33869,2322098,YES,YES,Online & In-Person,Yes,2023,6
AR,July 2023,17577626.0,2077422.0,0.118,270065.0,49,Arkansas,3025891,703793,33869,2322098,YES,YES,Online & In-Person,No,2023,7
AZ,September 2021,291212868.0,32308342.0,0.111,31393.0,50,Arizona,7276316,1614284,39023,5662032,YES,YES,Online & In-Person,Yes,2021,9
AZ,October 2021,486097352.0,37510371.0,0.077,1022841.0,51,Arizona,7276316,1614284,39023,5662032,YES,YES,Online & In-Person,Yes,2021,10
AZ,November 2021,466725687.0,51416143.0,0.11,3177148.0,52,Arizona,7276316,1614284,39023,5662032,YES,YES,Online & In-Person,No,2021,11
AZ,December 2021,499213733.0,39822928.0,0.08,1723902.0,53,Arizona,7276316,1614284,39023,5662032,YES,YES,Online & In-Person,,2021,12
AZ,January 2022,563694591.0,41890200.0,0.074,1952971.0,54,Arizona,7276316,1614284,39023,5662032,YES,YES,Online & In-Person,,2022,1
AZ,February 2022,491665554.0,25629835.0,0.052,670686.0,55,Arizona,7276316,1614284,39023,5662032,YES,YES,Online & In-Person,,2022,2
AZ,March 2022,690979294.0,38898393.0,0.0559999999999999,1864457.0,56,Arizona,7276316,1614284,39023,5662032,YES,YES,Online & In-Person,,2022,3
AZ,April 2022,512877848.0,30441992.0,0.059,1647450.0,57,Arizona,7276316,1614284,39023,5662032,YES,YES,Online & In-Person,,2022,4
AZ,May 2022,461450688.0,56193286.0,0.122,4125125.0,58,Arizona,7276316,1614284,39023,5662032,YES,YES,Online & In-Person,,2022,5
AZ,June 2022,318774198.0,12601356.0,0.04,766831.0,59,Arizona,7276316,1614284,39023,5662032,YES,YES,Online & In-Person,,2022,6
AZ,July 2022,290511533.0,22684581.0,0.078,1496427.0,60,Arizona,7276316,1614284,39023,5662032,YES,YES,Online & In-Person,,2022,7
AZ,August 2022,361008835.0,37161759.0,0.103,2767590.0,61,Arizona,7276316,1614284,39023,5662032,YES,YES,Online & In-Person,,2022,8
AZ,September 2022,537966149.0,56428816.0,0.105,3058838.0,62,Arizona,7276316,1614284,39023,5662032,YES,YES,Online & In-Person,,2022,9
AZ,October 2022,618570296.0,49392417.0,0.08,2963716.0,63,Arizona,7276316,1614284,39023,5662032,YES,YES,Online & In-Person,,2022,10
AZ,November 2022,616855045.0,56028195.0,0.091,3876208.0,64,Arizona,7276316,1614284,39023,5662032,YES,YES,Online & In-Person,,2022,11
AZ,December 2022,572490899.0,55581725.0,0.0969999999999999,3724395.0,65,Arizona,7276316,1614284,39023,5662032,YES,YES,Online & In-Person,,2022,12
AZ,January 2023,591220794.0,47486817.0,0.08,2886502.0,66,Arizona,7276316,1614284,39023,5662032,YES,YES,Online & In-Person,,2023,1
AZ,February 2023,609278096.0,35412452.0,0.0579999999999999,1609581.0,67,Arizona,7276316,1614284,39023,5662032,YES,YES,Online & In-Person,,2023,2
AZ,March 2023,644763991.0,53523947.0,0.083,3704268.0,68,Arizona,7276316,1614284,39023,5662032,YES,YES,Online & In-Person,,2023,3
AZ,April 2023,535712027.0,49163323.0,0.092,3429846.0,69,Arizona,7276316,1614284,39023,5662032,YES,YES,Online & In-Person,,2023,4
AZ,May 2023,451717025.0,49458507.0,0.109,3376059.0,70,Arizona,7276316,1614284,39023,5662032,YES,YES,Online & In-Person,,2023,5
AZ,June 2023,393198858.0,28331608.0,0.072,1633356.0,71,Arizona,7276316,1614284,39023,5662032,YES,YES,Online & In-Person,,2023,6
CO,May 2020,25621762.0,2565729.0,0.1,96538.0,72,Colorado,5812069,1241947,44818,4570122,YES,YES,Online & In-Person,,2020,5
CO,June 2020,38136949.0,3484015.0,0.091,217945.0,73,Colorado,5812069,1241947,44818,4570122,YES,YES,Online & In-Person,,2020,6
CO,July 2020,59183620.0,5196599.0,0.088,241731.0,74,Colorado,5812069,1241947,44818,4570122,YES,YES,Online & In-Person,,2020,7
CO,August 2020,128646209.0,7519599.0,0.0579999999999999,189326.0,75,Colorado,5812069,1241947,44818,4570122,YES,YES,Online & In-Person,,2020,8
CO,September 2020,207655943.0,4166334.0,0.02,69772.0,76,Colorado,5812069,1241947,44818,4570122,YES,YES,Online & In-Person,,2020,9
CO,October 2020,210719821.0,17402409.0,0.083,824700.0,77,Colorado,5812069,1241947,44818,4570122,YES,YES,Online & In-Person,,2020,10
CO,November 2020,231238842.0,18354655.0,0.079,793820.0,78,Colorado,5812069,1241947,44818,4570122,YES,YES,Online & In-Person,,2020,11
CO,December 2020,284551472.0,17151867.0,0.06,531490.0,79,Colorado,5812069,1241947,44818,4570122,YES,YES,Online & In-Person,,2020,12
CO,January 2021,326903462.0,23144535.0,0.071,1195774.0,80,Colorado,5812069,1241947,44818,4570122,YES,YES,Online & In-Person,,2021,1
CO,February 2021,266549207.0,10444810.0,0.039,332227.0,81,Colorado,5812069,1241947,44818,4570122,YES,YES,Online & In-Person,,2021,2
CO,March 2021,300990842.0,20365119.0,0.068,1060854.0,82,Colorado,5812069,1241947,44818,4570122,YES,YES,Online & In-Person,,2021,3
CO,April 2021,244446760.0,17563939.0,0.072,1082611.0,83,Colorado,5812069,1241947,44818,4570122,YES,YES,Online & In-Person,,2021,4
CO,May 2021,248968193.0,15129108.0,0.061,633896.0,84,Colorado,5812069,1241947,44818,4570122,YES,YES,Online & In-Person,,2021,5
CO,June 2021,229764688.0,19730957.0,0.086,1186455.0,85,Colorado,5812069,1241947,44818,4570122,YES,YES,Online & In-Person,,2021,6
CO,July 2021,181327995.0,15652461.0,0.086,999111.0,86,Colorado,5812069,1241947,44818,4570122,YES,YES,Online & In-Person,,2021,7
CO,August 2021,211918185.0,15228343.0,0.072,728518.0,87,Colorado,5812069,1241947,44818,4570122,YES,YES,Online & In-Person,,2021,8
CO,September 2021,408314625.0,22658630.0,0.055,483048.0,88,Colorado,5812069,1241947,44818,4570122,YES,YES,Online & In-Person,,2021,9
CO,October 2021,491453342.0,28616708.0,0.0579999999999999,1246804.0,89,Colorado,5812069,1241947,44818,4570122,YES,YES,Online & In-Person,,2021,10
CO,November 2021,475441229.0,36781848.0,0.077,1981640.0,90,Colorado,5812069,1241947,44818,4570122,YES,YES,Online & In-Person,,2021,11
CO,December 2021,461448574.0,24732487.0,0.054,770561.0,91,Colorado,5812069,1241947,44818,4570122,YES,YES,Online & In-Person,,2021,12
CO,January 2022,573720213.0,34640219.0,0.06,1447952.0,92,Colorado,5812069,1241947,44818,4570122,YES,YES,Online & In-Person,,2022,1
CO,February 2022,440508421.0,19604490.0,0.045,314731.0,93,Colorado,5812069,1241947,44818,4570122,YES,YES,Online & In-Person,,2022,2
CO,March 2022,505611080.0,28238194.0,0.0559999999999999,1313076.0,94,Colorado,5812069,1241947,44818,4570122,YES,YES,Online & In-Person,,2022,3
CO,April 2022,392311737.0,22571887.0,0.0579999999999999,1231742.0,95,Colorado,5812069,1241947,44818,4570122,YES,YES,Online & In-Person,,2022,4
CO,May 2022,360325438.0,27119329.0,0.075,1659189.0,96,Colorado,5812069,1241947,44818,4570122,YES,YES,Online & In-Person,,2022,5
CO,June 2022,313215081.0,6781092.0,0.022,268280.0,97,Colorado,5812069,1241947,44818,4570122,YES,YES,Online & In-Person,,2022,6
CO,July 2022,258414808.0,20802881.0,0.081,1092182.0,98,Colorado,5812069,1241947,44818,4570122,YES,YES,Online & In-Person,,2022,7
CO,August 2022,290107970.0,25859270.0,0.089,1822272.0,99,Colorado,5812069,1241947,44818,4570122,YES,YES,Online & In-Person,,2022,8
CO,September 2022,450232597.0,51339659.0,0.114,2989342.0,100,Colorado,5812069,1241947,44818,4570122,YES,YES,Online & In-Person,,2022,9
CO,October 2022,526619777.0,36514974.0,0.069,2330705.0,101,Colorado,5812069,1241947,44818,4570122,YES,YES,Online & In-Person,,2022,10
CO,November 2022,552603013.0,37569022.0,0.068,2581533.0,102,Colorado,5812069,1241947,44818,4570122,YES,YES,Online & In-Person,,2022,11
CO,December 2022,518088768.0,40909238.0,0.079,2583711.0,103,Colorado,5812069,1241947,44818,4570122,YES,YES,Online & In-Person,,2022,12
CO,January 2023,547189025.0,35482562.0,0.065,2586457.0,104,Colorado,5812069,1241947,44818,4570122,YES,YES,Online & In-Person,,2023,1
CO,February 2023,425142877.0,22599602.0,0.053,1257332.0,105,Colorado,5812069,1241947,44818,4570122,YES,YES,Online & In-Person,,2023,2
CO,March 2023,494440210.0,45935669.0,0.093,3103024.0,106,Colorado,5812069,1241947,44818,4570122,YES,YES,Online & In-Person,,2023,3
CO,April 2023,417814147.0,35148592.0,0.084,2582615.0,107,Colorado,5812069,1241947,44818,4570122,YES,YES,Online & In-Person,,2023,4
CO,May 2023,385242136.0,31406903.0,0.0819999999999999,2218084.0,108,Colorado,5812069,1241947,44818,4570122,YES,YES,Online & In-Person,,2023,5
CO,June 2023,310656478.0,9223661.0,0.03,441951.0,109,Colorado,5812069,1241947,44818,4570122,YES,YES,Online & In-Person,,2023,6
CT,October 2021,54641474.0,5567547.0,0.102,512951.0,110,Connecticut,3605597,727239,45511,2878358,YES,YES,Online & In-Person,,2021,10
CT,November 2021,131729179.0,17456823.0,0.133,1712136.0,111,Connecticut,3605597,727239,45511,2878358,YES,YES,Online & In-Person,,2021,11
CT,December 2021,150073755.0,10242899.0,0.068,929336.0,112,Connecticut,3605597,727239,45511,2878358,YES,YES,Online & In-Person,,2021,12
CT,January 2022,158092481.0,11891808.0,0.075,1142510.0,113,Connecticut,3605597,727239,45511,2878358,YES,YES,Online & In-Person,,2022,1
CT,February 2022,115619953.0,5844220.0,0.051,501516.0,114,Connecticut,3605597,727239,45511,2878358,YES,YES,Online & In-Person,,2022,2
CT,March 2022,140747137.0,11511388.0,0.0819999999999999,1037570.0,115,Connecticut,3605597,727239,45511,2878358,YES,YES,Online & In-Person,,2022,3
CT,April 2022,116465199.0,10353842.0,0.089,988263.0,116,Connecticut,3605597,727239,45511,2878358,YES,YES,Online & In-Person,,2022,4
CT,May 2022,115180155.0,10308064.0,0.089,981304.0,117,Connecticut,3605597,727239,45511,2878358,YES,YES,Online & In-Person,,2022,5
CT,June 2022,95421852.0,7142610.0,0.075,669453.0,118,Connecticut,3605597,727239,45511,2878358,YES,YES,Online & In-Person,,2022,6
CT,July 2022,78316775.0,8611816.0,0.11,859094.0,119,Connecticut,3605597,727239,45511,2878358,YES,YES,Online & In-Person,,2022,7
CT,August 2022,80037045.0,10882317.0,0.136,1153125.0,120,Connecticut,3605597,727239,45511,2878358,YES,YES,Online & In-Person,,2022,8
CT,September 2022,130547719.0,17608762.0,0.135,1777391.0,121,Connecticut,3605597,727239,45511,2878358,YES,YES,Online & In-Person,,2022,9
CT,October 2022,164170106.0,17012667.0,0.104,1736473.0,122,Connecticut,3605597,727239,45511,2878358,YES,YES,Online & In-Person,,2022,10
CT,November 2022,165026282.0,17869847.0,0.108,1942387.0,123,Connecticut,3605597,727239,45511,2878358,YES,YES,Online & In-Person,,2022,11
CT,December 2022,160266050.0,16268906.0,0.102,1736006.0,124,Connecticut,3605597,727239,45511,2878358,YES,YES,Online & In-Person,,2022,12
CT,January 2023,167673044.0,19610098.0,0.1169999999999999,1919290.0,125,Connecticut,3605597,727239,45511,2878358,YES,YES,Online & In-Person,,2023,1
CT,February 2023,136508300.0,11626147.0,0.085,1175694.0,126,Connecticut,3605597,727239,45511,2878358,YES,YES,Online & In-Person,,2023,2
CT,March 2023,159997579.0,17029646.0,0.106,1855821.0,127,Connecticut,3605597,727239,45511,2878358,YES,YES,Online & In-Person,,2023,3
CT,April 2023,126683869.0,13610074.0,0.107,1458730.0,128,Connecticut,3605597,727239,45511,2878358,YES,YES,Online & In-Person,,2023,4
CT,May 2023,109421369.0,15271178.0,0.14,1645394.0,129,Connecticut,3605597,727239,45511,2878358,YES,YES,Online & In-Person,,2023,5
CT,June 2023,91414677.0,9752058.0,0.107,961577.0,130,Connecticut,3605597,727239,45511,2878358,YES,YES,Online & In-Person,,2023,6
CT,July 2023,91512897.0,11126316.0,0.122,1215313.0,131,Connecticut,3605597,727239,45511,2878358,YES,YES,Online & In-Person,,2023,7
DC,May 2020,9723.0,-240.0,-0.025,-138.0,132,District of Columbia,670050,125729,72457,544321,YES,YES,Online & In-Person,,2020,5
